,Unnamed: 0,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
92112,94373,6139454F77533255776C384A7865384B5035334E55413D3D,6333444A3659684E4C65332B2B632B6D6C764B472B413D3D,Творческий проект,3,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
93241,95546,566E5372465A574A30654A4F366E414B4E63505930513D3D,427936423533376662334E7776436B4C4D736D3767513D3D,Творческий проект,3,2016/2017,незачет,09.03.01 Информатика и вычислительная техника,Очная,Бакалавр,Отчисленный
93567,95885,517472574539515136502B486F2B4D7138672B5245513D3D,427936423533376662334E7776436B4C4D736D3767513D3D,Творческий проект,3,2016/2017,незачет,09.03.01 Информатика и вычислительная техника,Очная,Бакалавр,Отчисленный
93935,96278,34475345542F526B333178515A7736465077385939773D3D,7035656D5771686C48597554494959567875445148773D3D,Творческий проект,3,2016/2017,незачет,15.03.06 Мехатроника и робототехника,Очная,Бакалавр,Отчисленный
95112,97464,45516C5169624352377A4D334F774A4A6933384B76673D3D,4471317864336B6B545A71725842615A4D49685130673D3D,Творческий проект,3,2016/2017,незачет,21.03.01 Нефтегазовое дело,Очная,Бакалавр,Отчисленный
95153,97530,354B72652F68423071704B5641366D695243686F50673D3D,304738582F5A6B647A6E78376531317A4568746C48673D3D,Творческий проект,3,2016/2017,незачет,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
95154,97536,495468527A794B32476D5375664A6755334568464F673D3D,304738582F5A6B647A6E78376531317A4568746C48673D3D,Творческий проект,3,2016/2017,незачет,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
95155,97544,414F53327244584C53375574716172503373366F73673D3D,304738582F5A6B647A6E78376531317A4568746C48673D3D,Творческий проект,3,2016/2017,незачет,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
95222,97626,7335474252375872783553436271552F796F714279673D3D,733173786F6B724D4C614F396E6A2F724D50782B65513D3D,Творческий проект,3,2016/2017,незачет,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
95423,97857,32445574346557717A6E376C596F794C7A63647054773D3D,6C73467A56454A474D65433547565A414574736D4A413D3D,Творческий проект,3,2016/2017,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
95424,97867,3072592F71524E6F46736A68444A6A6E6F6746776C673D3D,6A61594E334A596362756978665547466A3443374C413D3D,Творческий проект,3,2016/2017,незачет,13.03.01 Теплоэнергетика и теплотехника,Очная,Бакалавр,Отчисленный
96115,98606,5A5A63434F6F314C447346532F7961734953535539673D3D,694672466B38596E6767575457613968565833394E673D3D,Творческий проект,2,2015/2016,незачет,21.05.04 Горное дело,Очная,Специалист,Отчисленный
96116,98616,4E4F7672596D2B6D53724C4670433257454351662B773D3D,694672466B38596E6767575457613968565833394E673D3D,Творческий проект,2,2015/2016,незачет,21.05.04 Горное дело,Очная,Специалист,Отчисленный
97404,99923,657543436D39706C2B5761504B4B416A4674663043773D3D,704966684E45735535332F546955744F51305A4C31513D3D,Творческий проект,3,2016/2017,незачет,15.03.06 Мехатроника и робототехника,Очная,Бакалавр,Отчисленный
97462,99996,7077505142324F6B33487266444D7852496D54515A773D3D,54756A3845506138495339584B536468614C716445673D3D,Творческий проект,3,2016/2017,незачет,09.03.04 Программная инженерия,Очная,Бакалавр,Отчисленный
