,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
6746,355663577277687A442B4E61397935504B42744A66413D3D,2B4D414C464A7979464434366A646A496259776C69773D3D,Творческий проект,4,2014/2015,зачтено,21.05.03 Технология геологической разведки,Заочная,Специалист,В отпуске
6811,6138524C397A5946622B7A396C592F73614A504D67773D3D,6468745A714F416F34524465784C3468464F355766513D3D,Творческий проект,2,2015/2016,зачтено,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
6852,50685A375A505047676B6F512F41437A464D646135413D3D,5378345538793646334874496F752B627363724170413D3D,Творческий проект,4,2013/2014,зачтено,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
6916,355663577277687A442B4E61397935504B42744A66413D3D,2B4D414C464A7979464434366A646A496259776C69773D3D,Творческий проект,2,2013/2014,зачтено,21.05.03 Технология геологической разведки,Заочная,Специалист,В отпуске
6924,54553268583742492B536676436C76696A47617657673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Творческий проект,4,2013/2014,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
6925,54553268583742492B536676436C76696A47617657673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Творческий проект,4,2013/2014,неудовлетворительно,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
6970,333075696D36534D75635A48766E7A2B584B684D71673D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,4,2013/2014,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
6971,7665694353742B6F4E734F7046513658734461524B773D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,4,2013/2014,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
7034,72614B5947444C3156346D69386E5772596D714B55773D3D,31736B3771513136433250386755502F474D713238513D3D,Творческий проект,2,2013/2014,зачтено,21.05.02 Прикладная геология,Очная,Специалист,Отчисленный
7047,6270712B366C4E5A4F4D53576F6D477A7335774E65513D3D,68564C65416843694C6B5A4B6B754C5655464D3545413D3D,Творческий проект,3,2013/2014,зачтено,38.03.02 Менеджмент,Заочная,Бакалавр,Отчисленный
7087,574331306E334A472F59723672756E794144677948413D3D,686532414D776D492F562F4A7A55533237384E3535673D3D,Творческий проект,4,2013/2014,зачтено,13.03.01 Теплоэнергетика и теплотехника,Заочная,Бакалавр,Учащийся
7088,6D7A4C64446F6A68375563594171554755516B3463513D3D,43744D554474445057656841434E7548794D455162413D3D,Творческий проект,4,2013/2014,зачтено,"14.05.02 Атомные станции: проектирование, эксплуатация и инжиниринг",Очная,Специалист,Учащийся
7128,36674C4D466F594A4D704D58355571577066544459513D3D,61484E3469413753584B4346674D304263364E6A32413D3D,Творческий проект,2,2013/2014,зачтено,13.03.02 Электроэнергетика и электротехника,Заочная,Бакалавр,Отчисленный
7218,787748692F36434A6B54754B75346E365045503478413D3D,57786A4B725A396754784B776346724C6F4F31416E673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7219,412B712F657472634A7469736148683953762F2B56413D3D,4D785466786F7158514572757A49616D634F55485A673D3D,Творческий проект,3,2016/2017,зачтено,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
7220,4B70534F4C7153537767426A4D36314F55376E5477513D3D,6471647764375530524E5A562F2F4B6D7731445679673D3D,Творческий проект,2,2013/2014,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
7251,5A4C326845782B4E4E457769393147565438345349513D3D,6178312B72625174465A6B4A7277576E7074694A69513D3D,Творческий проект,2,2013/2014,незачет,09.03.01 Информатика и вычислительная техника,Очная,Бакалавр,Отчисленный
7252,5A4C326845782B4E4E457769393147565438345349513D3D,6178312B72625174465A6B4A7277576E7074694A69513D3D,Творческий проект,2,2013/2014,неудовлетворительно,09.03.01 Информатика и вычислительная техника,Очная,Бакалавр,Отчисленный
7297,724657695877515751644336454C565A7256703430413D3D,65467462624A57416A41754A39714852704C494A6B413D3D,Творческий проект,2,2013/2014,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
7298,50355464515949742B616E456E4F4250394C486D56413D3D,5159464141703049374A4E6C7272334A564359576F413D3D,Творческий проект,2,2013/2014,зачтено,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
