,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
209086,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Информационные технологии в бухгалтерском учете,7,2018/2019,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
209102,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Национальная экономика,7,2018/2019,удовлетворительно,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
209118,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Теория экономического анализа,7,2018/2019,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
211064,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Национальная экономика,7,2018/2019,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
211080,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Экономика фирмы,7,2018/2019,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
213043,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Экономика фирмы,7,2018/2019,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
214536,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Профессиональный иностранный язык (английский),8,2018/2019,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
214552,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Профессиональный иностранный язык (английский),7,2018/2019,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
214670,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Экономика общественного сектора и социальная политика,7,2018/2019,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
214853,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Учебно-исследовательская работа студентов,7,2018/2019,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
216297,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Учебно-исследовательская работа студентов,8,2018/2019,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
220458,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Элективные дисциплины по физической культуре и спорту,8,2018/2019,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
224659,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,"Деньги, кредит, банки",8,2018/2019,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
224811,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Корпоративные финансы,8,2018/2019,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
224992,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Корпоративные финансы,8,2018/2019,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
225045,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Экономика и нормирование труда,8,2018/2019,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
225445,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Международные стандарты учета и финансовой отчетности,8,2018/2019,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
225461,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Планирование и моделирование бизнес-процессов на предприятии,8,2018/2019,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
226745,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Финансово-промышленный аудит,9,2019/2020,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
226813,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Управление затратами предприятия,9,2019/2020,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
228925,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Налоги и налогообложение,9,2019/2020,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
229242,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Логистика,9,2019/2020,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
231270,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Внешнеэкономическая деятельность,9,2019/2020,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
231455,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Финансово-промышленный аудит,9,2019/2020,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный

234343,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Анализ и диагностика финансово-хозяйственной деятельности предприятий,10,2019/2020,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
234361,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Анализ и диагностика финансово-хозяйственной деятельности предприятий,10,2019/2020,хорошо,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
234378,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Оценка и управление стоимостью предприятия,10,2019/2020,отлично,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
234423,2B2F397249583175764B6A74722B373239642F7053413D3D,7569304E30773043574C4F677453795A4C74305551673D3D,Практикум по экономике предприятий и организаций,10,2019/2020,зачтено,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
